City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,east london,-33.0153,27.9116,289.45,45,69,2.19,ZA,1689563816
202,chonchi,-42.6128,-73.8092,274.88,93,8,0.92,CL,1689563816
203,georgetown,5.4112,100.3354,305.34,76,20,1.54,MY,1689563696
204,byalynichy,53.9983,29.7126,289.45,83,100,2.25,BY,1689563816
205,dudinka,69.4058,86.1778,282.94,46,26,7.65,RU,1689563816
206,bodo,67.28,14.405,288.12,89,0,5.66,NO,1689563817
207,new norfolk,-42.7826,147.0587,289.77,56,29,4.91,AU,1689563817
208,cidreira,-30.1811,-50.2056,284.68,77,100,3.55,BR,1689563817
209,mili,6.0815,171.735,301.4,72,57,6.17,MH,1689563817
210,el alto,-4.2714,-81.2147,294.35,84,66,6.94,PE,1689563817
211,didwana,27.4,74.5667,302.98,62,78,3.69,IN,1689563817
212,kannauj,27.0546,79.922,305.09,59,100,3.53,IN,1689563818
213,anahuac,27.2333,-100.15,307.09,25,31,8.75,MX,1689563818
214,sao gabriel da cachoeira,-0.1303,-67.0892,295.93,99,100,0.77,BR,1689563818
215,sao vicente,-23.9631,-46.3919,296.25,26,7,0.79,BR,1689563818
216,nar'yan-mar,67.6713,53.087,289.42,81,91,4.59,RU,1689563819
217,blackfoot,43.1905,-112.345,305.6,18,3,1.54,US,1689563819
218,komsomol'skiy,43.9783,46.6985,292.89,68,56,6.37,RU,1689563819
219,korla,41.7597,86.1469,309.13,14,84,7.26,CN,1689563819
220,leava,-14.3,-178.1667,299.64,82,97,11.1,WF,1689563819
221,nema,57.5067,50.5011,289.39,70,84,3.69,RU,1689563820
222,ar rutbah,33.0381,40.2848,301.13,19,0,3.22,IQ,1689563820
223,carauari,-4.8828,-66.8958,296.23,95,100,0.96,BR,1689563820
224,ploneour-lanvern,47.9,-4.2833,287.31,100,75,0.51,FR,1689563820
225,polyarnyy,69.1989,33.4478,288.86,67,100,4.12,RU,1689563820
226,sisimiut,66.9395,-53.6735,280.77,96,100,1.82,GL,1689563820
227,al khums,32.6486,14.2619,300.1,47,0,1.25,LY,1689563821
228,fortuna foothills,32.6578,-114.4119,312.2,33,0,5.14,US,1689563821
229,nanpiao,41.0982,120.7479,305.05,38,0,1.94,CN,1689563821
230,mejit,10.2753,170.8646,301.31,77,51,5.75,MH,1689563821
231,jiazi,22.8779,116.067,300.99,89,100,9.05,CN,1689563821
232,harper,4.375,-7.7169,297.62,88,100,3.75,LR,1689563822
233,praia,14.9215,-23.5087,300.45,78,75,4.63,CV,1689563822
234,melekeok village,7.4957,134.6367,302.46,84,100,4.63,PW,1689563822
235,talnakh,69.4865,88.3972,282.71,61,87,4.32,RU,1689563823
236,onega,63.9061,38.1404,290.55,71,44,1.52,RU,1689563823
237,pisco,-13.7,-76.2167,291.18,77,75,1.54,PE,1689563823
238,martakert,40.2104,46.821,291.98,85,97,1.87,AZ,1689563823
239,bridgewater,44.3835,-64.5155,294.32,95,100,5.66,CA,1689563824
240,st. john's,47.5649,-52.7093,293.3,96,100,3.09,CA,1689563824
241,sabang,5.8933,95.3214,301.32,76,100,10.39,ID,1689563824
242,lata,40.1629,-8.3327,286.52,93,0,1.16,PT,1689563824
243,alice springs,-23.7,133.8833,293.9,35,19,6.17,AU,1689563825
244,caraballeda,10.6112,-66.8522,304.19,84,75,2.57,VE,1689563825
245,wainwright,52.839,-110.8572,291.42,64,38,4.48,CA,1689563572
246,machico,32.7,-16.7667,294.5,72,40,5.14,PT,1689563825
247,jiagedaqi,50.4167,124.1167,304.23,35,19,0.36,CN,1689563826
248,tura,25.5198,90.2201,299.76,83,100,2.14,IN,1689563826
249,tsiombe,-25.3,45.4833,288.92,79,5,2.18,MG,1689563826
250,dryden,49.7833,-92.7503,286.31,88,100,3.6,CA,1689563826
